ResponseID,StartDate,EndDate,Finished,consent,dem1,dem1_TEXT,dem2,dem2b,dem3,dem4,dem4_TEXT,dem5,dem5_TEXT,dem6,dem7,dem7a,dem7_1_59,dem7_1_60,dem7_1_61,dem7_1_62,dem7_1_63,dem7_1_64,dem7_1_65,dem7_1a_59,dem7_1a_60,dem7_1a_61,dem7_1a_62,dem7_1a_63,dem7_1a_64,dem7_1a_65,dem8,dem9,DR_title,DRtext,DR_equip_1,DR_equip_2,DR_equip_3,DR_equip_4,DR_equip_5,DR_genetic_1,DR_genetic_2,DR_genetic_3,DRtext2,DR_general_1,DR_general_2,DR_general_3,DR_general_4,DR_general_5,DR_general_6,DR_general_7,DR_general_8,DR_general_9,DR_general_10,DR_general_11,DRtext3,DR_harvest_1,DR_harvest_2,DR_harvest_3,DR_harvest_4,DR_harvest_5,DR_harvest_6,DR_person_1,DR_person_2,DR_person_3,DR_person_4,DR_person_5,IB_title,IB_text,IB_equip_1,IB_equip_2,IB_equip_3,IB_equip_4,IB_equip_5,IB_genetic_1,IB_genetic_2,IB_genetic_3,IB_text2,IB_general_1,IB_general_2,IB_general_3,IB_general_4,IB_general_5,IB_general_6,IB_general_7,IB_general_8,IB_general_9,IB_general_10,IB_general_11,IB_text3,IB_harvest_1,IB_harvest_2,IB_harvest_3,IB_harvest_4,IB_harvest_5,IB_harvest_6,IB_person_1,IB_person_2,IB_person_3,IB_person_4,IB_person_5,Comments,TimeTaken
R_3nibXGjzIhwNThC,7/23/15 6:39,7/23/15 6:45,1,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,1,0,0,NA,1,1,1,3,3,3,4,3,3,4,3,1,3,3,4,3,3,3,4,3,3,3,3,1,3,3,3,3,3,2,3,3,3,3,3,1,1,1,1.054,1.339,1.108,1.097,1.032,1.091,1.048,1,1.167,1.108,1.091,1.091,1.091,1.108,1.118,1.091,1.306,1.151,1.097,1,1.21,1.22,1.151,1.134,1.151,1.167,1,1.038,1.108,1.081,1.065,,6.45
R_RVsWI0cOV0VKuqt,7/23/15 10:59,7/23/15 11:36,1,1,3,media,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,3,3,3,3,2,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,1,1,1.645,2.366,2.355,3.005,1,NA,NA,NA,1,2.43,2.634,1.651,2.242,3.075,2.511,2.763,2.581,2.269,2.919,2.651,1,1.995,2.43,2.371,2.613,4,4,1.398,1.989,1.995,1.995,1.414,,36.43333333
R_3pnbkU71ZBrQUWu,7/23/15 16:44,7/23/15 16:57,1,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,NA,1,1,1,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,1,3,3,2,1,1,1,4,4,2,4,4,1,1,1.478,2.476,4,1.483,1.488,3.834,3.844,1.977,1,1.553,1.564,2.487,3.748,3.758,2.508,3.775,3.946,3.957,3.737,3.694,1,2.513,2.513,3.952,2.524,3.85,2.524,1.58,3.007,1.623,3.013,1.998,,13.48333333
R_22lyPHEd1gQWhpb,7/24/15 7:48,7/24/15 8:02,1,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,1,1,1,2,2,3,4,3,3,3,2,1,3,3,3,4,4,4,4,3,3,3,4,1,2,2,2,2,2,2,3,3,3,3,4,1,1,1,2.489,1,1.28,1.274,NA,NA,1,1,1.237,1.242,1.989,4,4,4,NA,1.118,1.978,1.989,NA,1,NA,NA,NA,NA,NA,NA,1.425,1,1.441,1.989,1.419,,14.05
R_9Xhj778YLZcINcl,7/25/15 20:31,7/25/15 20:41,1,1,3,Vet,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,NA,1,1,1,2,3,4,4,2,2,3,2,1,3,3,3,3,3,3,4,3,2,3,3,1,1,2,2,1,1,1,3,2,3,4,4,1,1,1.5,3.471,4,NA,2.581,NA,NA,1.338,1,3.037,NA,2.507,NA,NA,NA,NA,NA,NA,3.022,NA,1,1.353,1.963,1.963,1.493,1.294,1.368,1,2.971,NA,NA,NA,Most of my sites are self replacing farrow to finish with on site mortality disposal.  Responses assume that FMD is in the country already.,9.983333333
R_2zA5hfnhZVhoytM,7/27/15 9:32,7/27/15 10:00,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,1,0,0,NA,1,1,1,3,2,3,3,2,3,3,3,1,3,3,3,3,3,4,4,3,3,4,3,1,3,3,1,1,3,1,3,2,2,3,3,1,1,1.284,2.515,NA,2.546,1.978,2.551,3.967,2.551,1,1.991,NA,2.546,3.333,3.333,1,1,2.527,4,2.324,3.97,1,2.21,2.218,2.24,2.547,2.532,3.011,1,3.253,3.257,3.995,1.04,This exercise reinforced to me that the pork industry relies heavily on many types of movements that must occur in a timely manner if animal welfare and business viability are to be maintained.  Thank you for your efforts in these areas.,27.5
R_2Ez6RZPSLbWqQIm,7/20/15 11:10,7/20/15 11:24,0,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,3,3,3,3,3,3,3,3,1,4,4,3,4,4,4,4,4,3,4,3,1,3,3,3,2,2,2,3,3,2,3,2,1,1,1.64,2.527,4,1.995,1.995,3.57,3.597,1.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,13.7
R_a5jUEFK0HFvOhxj,7/29/15 15:30,7/29/15 15:50,1,1,3,veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,2,1,1,2,3,3,3,3,3,3,3,1,1,2,3,1,2,3,4,2,2,2,1,1,1,2,1,1,1,1,1,3,2,2,3,1,1,1.673,2.002,NA,4,2.217,3.02,3.009,2.514,1,2.126,NA,2.514,3.235,3.542,NA,NA,NA,NA,2.524,3.014,1,NA,NA,NA,NA,NA,NA,1,4,4,4,4,,20.18333333
R_UL9RBau8aXfdiud,7/23/15 18:27,7/23/15 18:28,0,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.066666667
R_2Vmx1WYp0YE45d3,7/24/15 8:15,7/24/15 8:17,0,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2.434,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.583333333
R_12MyZ2W1eWRvEiT,7/24/15 10:44,7/24/15 10:45,0,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.8
R_DNrdi2L4pR0hwYx,7/24/15 17:27,7/24/15 17:27,0,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.45
R_6LuVuixgkRWrsQB,8/4/15 14:08,8/4/15 14:18,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,1,1,1,3,3,4,4,3,2,4,3,1,2,3,4,4,4,4,4,3,4,3,4,1,3,2,2,1,1,1,4,4,2,4,4,1,1,1.978,3.038,2.011,1.457,1.44,4,4,1.962,1,1,1,3.005,3.022,3.038,1,1,1,4,2.516,3.054,1,1,1,1,1.489,3.022,4,1,1.995,3.054,4,3.022,,9.8
R_6rJTBn6OEo9mKQB,7/28/15 18:37,7/28/15 18:38,0,1,3,veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.366666667
R_6LscZ2po1lCm4Rv,7/28/15 20:08,7/28/15 20:28,0,1,1,,3,NA,3,1,NA,1,,2,2,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,20.28333333
R_00xMsgPXZdYCEx7,8/4/15 21:01,8/4/15 21:12,1,1,1,,6,NA,4,2,NA,7,All of the above ,4,2,NA,1,0,0,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,2,3,4,3,2,3,3,1,3,3,3,2,4,2,4,3,2,3,2,1,2,2,2,2,2,2,3,3,3,3,3,1,1,1.424,1.44,2.467,1.391,1.391,3.56,3.038,1,1,1,1,1,3.054,3.576,3.592,4,2.011,3.038,1,3.038,1,1,1,1,1,1,1,1,1.995,1.978,1,2.011,,11.2
R_3f6Fqi7wf9DmlM1,8/5/15 16:20,8/5/15 16:36,1,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,3,3,4,4,2,3,3,2,1,3,4,3,4,4,4,4,4,4,3,4,1,3,3,2,2,2,1,4,4,3,4,4,1,1,1.986,1.991,1.98,3.009,1.975,1.996,1.986,1.964,1,1.98,2.977,1.991,2.987,2.998,3.025,3.025,3.009,3.009,2.993,2.013,1,1.975,1.996,1.452,1.388,1.415,1.372,1.991,2.514,1.975,2.508,3.004,,16.15
R_cBg4Q1mSoHsuC5n,8/6/15 15:38,8/6/15 15:45,1,1,3,Academia,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,1,1,4,4,4,2,4,4,1,3,4,1,3,3,4,3,3,3,3,3,1,3,4,4,2,2,1,4,4,3,4,4,1,1,1.156,2.013,1.986,1.991,2.007,3.025,3.02,2.013,1,1.98,1.986,1.415,3.014,3.004,1.991,2.002,1.975,3.456,1.975,2.993,1,2.002,1.97,2.998,3.952,1.98,2.336,1.108,1.646,2.508,2.53,2.524,,6.866666667
R_2of2DAK5RTkvpnT,8/4/15 13:09,8/4/15 13:16,0,1,3,veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,1,0,0,NA,1,1,1,3,3,4,4,3,1,1,1,1,3,4,2,2,4,4,3,4,2,4,3,1,4,4,2,2,3,2,4,4,4,4,4,1,1,4,1.716,3.004,3.995,3.984,3.979,2.982,3.973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,7.6
R_d1n7D3u5bcSob7n,8/4/15 17:36,8/4/15 17:41,0,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,NA,1,1,1,2,2,4,4,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4.883333333
R_bILwW7JyfPMbdpb,8/6/15 9:28,8/6/15 10:46,0,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,78.31666667
R_dbtomBaOdIMweKV,8/13/15 15:24,8/13/15 15:32,1,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,1,1,3,2,2,2,2,2,2,2,1,2,3,2,3,3,3,4,4,4,4,4,1,2,2,2,2,2,2,3,3,3,3,3,1,1,1.162,1.991,2.557,NA,2.551,NA,NA,1.98,1,1.512,1.528,3.435,NA,NA,3.025,3.02,2.481,3.009,3.009,3.004,1,2.002,1.986,1.975,1.991,1.991,2.002,1,2.519,3.359,NA,1.436,,8
R_cFJY3vofRcZczpb,8/20/15 5:54,8/20/15 6:09,1,1,3,Breeding stock vet,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,1,1,1,3,2,1,2,2,2,2,3,1,2,1,2,2,2,2,1,1,1,2,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1.179,2.552,4,1.533,1.533,NA,NA,1.285,1,1.549,NA,2.255,NA,NA,2.419,NA,NA,NA,2.294,NA,1,2.705,2.538,2.467,2.525,2.386,2.478,1,NA,2.935,NA,NA,,14.6
R_e3za3SeyKrbtCbH,8/20/15 9:55,8/20/15 10:06,1,1,3,tech services vet,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,NA,1,1,1,3,3,4,4,4,4,4,3,1,3,4,4,3,3,4,4,4,3,4,3,1,3,4,3,2,2,2,4,3,3,4,3,1,1,1,1.059,1.964,1.016,1.479,NA,NA,1.081,1,1.194,1.189,2.293,2.993,2.519,1.948,1.98,1.005,NA,2.293,4,1,1.205,1.275,1.991,1.199,1.959,2.352,1,1.986,2.303,2.987,2.971,,11.31666667
R_1FUgVlFECMGdQjP,8/19/15 22:43,8/19/15 22:50,0,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,6.866666667
R_b70OK2iYIbExT5H,8/20/15 8:15,8/20/15 8:17,0,1,3,Veterinarian/Academia,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,0,0,NA,1,1,1,2,2,NA,2,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.1
R_cMhyv8wRPxV4W3z,8/20/15 9:43,8/20/15 9:47,0,1,3,Government,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,3.616666667
R_3VIerhyTi3kAllH,8/27/15 15:14,8/27/15 15:24,1,1,1,,6,NA,6,2,NA,1,,2,1,NA,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,3,3,3,2,4,1,1,3,1,3,3,1,1,3,4,1,2,1,3,3,1,NA,NA,NA,NA,NA,NA,3,3,3,3,4,1,1,1,1.986,1.436,1.145,1.517,4,NA,1.286,1,1.022,1.032,1.582,2.433,2.438,1.689,4,1.506,3.031,1.986,1.576,1,NA,NA,NA,NA,NA,NA,1,2.013,3.014,2.018,1.145,Many questions don't apply and there is no way to indicate that,9.983333333
R_cI4N4IvgfCDwvid,8/23/15 13:00,8/23/15 13:02,0,1,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.383333333
R_6zjKEHjzKd2VQUZ,8/27/15 7:59,8/27/15 8:00,0,1,3,USDA APHIS VMO,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.316666667
R_a9psqADwRemIcM5,9/3/15 9:24,9/3/15 9:33,1,1,3,academia,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,1,1,0,0,NA,1,1,1,2,1,2,1,2,2,2,1,1,2,3,2,2,3,3,4,3,3,2,2,1,1,1,1,1,1,1,2,3,3,3,3,1,1,1.043,2.492,2.928,2.487,3.074,3.359,3.009,1.986,1,1.986,1.986,1.98,3.612,3.645,3.677,NA,4,NA,3.02,3.004,1,4,NA,NA,NA,NA,NA,4,3.004,3.009,2.54,3.004,,9.15
R_5tNRsHqcnR1CvIN,9/3/15 11:26,9/3/15 11:45,0,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,1,1,1,3,3,4,4,2,2,2,2,1,3,3,2,4,4,4,4,4,4,3,4,1,2,2,2,1,1,1,3,4,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,19.66666667
R_9NC4gC1WsALuLWd,9/4/15 8:54,9/4/15 8:55,0,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.416666667
R_0p9eN9pccEdpHaR,9/4/15 20:39,9/4/15 20:41,0,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2
R_cU7eVso3a6t8DwF,9/17/15 8:45,9/17/15 9:20,1,1,3,Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,1,1,1,4,3,4,3,3,3,3,2,1,4,4,2,3,4,4,4,4,3,4,4,1,2,2,2,2,2,2,3,4,3,3,4,1,1,1.178,1.614,2.244,1.156,1,1.986,1.991,1.56,1,1.129,1.135,1.178,2.293,3.009,4,4,1.479,2.282,1.226,1.991,1,2.433,2.443,4,2.998,3.014,3.009,1,1.506,1.162,1.776,1.916,,35.21666667
R_3EISBeoNeCW782h,9/17/15 9:11,9/17/15 9:12,0,1,3,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1.133333333
R_6QG2DeMMz1U0sfP,9/23/15 9:03,9/23/15 9:07,0,1,3,Private Practice Veterinarian,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,NA,1,1,1,2,2,2,2,2,3,3,2,1,3,3,2,2,2,2,4,2,2,3,2,1,2,2,2,2,2,2,3,4,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,4.033333333
R_02sBhF5uVXts7yZ,10/9/15 10:37,10/9/15 10:37,1,2,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.2
R_qVYjWV58SCjvdBL,11/17/15 15:22,11/17/15 15:24,1,1,4,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,2.033333333
R_1fgbf3zaTX3ofIA,2/4/16 12:53,2/4/16 13:02,1,1,3,USDA APHIS VS,NA,NA,NA,NA,NA,NA,,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,1,1,1,2,1,4,4,3,2,3,2,1,2,3,2,3,4,4,4,4,2,2,3,1,2,3,1,1,2,1,2,2,4,4,3,1,1,1.043,NA,NA,NA,1.188,NA,1.102,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,9
R_3g5UPpVMuyRFLbp,2/12/16 16:38,2/12/16 16:38,1,2,NA,,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0.133333333
